No Items Found,Geen items gevonden,,,,
Feed Manager,Feed Beheer,,,,
ID,ID,,,,
Site Name,Naam van de site,,,,
Feed Generated Date,Datum gegenereerde feed,,,,
Feed Schedule Date,Planning feed schema,,,,
Action,Verwerken,,,,
Edit,Wijzigen,,,,
Generate Feed,Genereer feed,,,,
Delete,Verwijderen,,,,
Are you sure,Weet u het zeker,,,,
Save Item,Sla item op,,,,
Delete Item,Verwijder item,,,,
Save And Continue Edit,Sla op en verder bewerken,,,,
Feed Settings,Feed instellingen,,,,
Edit Primary Detail,Wijzig primaire details,,,,
Add Primary Detail,Voeg primaire details toe,,,,
Back,Terug,,,,
Save Ftp Detail,Opslaan ftp details,,,,
Create Feed,Maak feed aan,,,,
Create Feed and Upload,Maak feed aan en upload,,,,
Delete FTP,Verwijder FTP,,,,
Feed Manager Ftp Detail -,Feed Manager Ftp Details -,,,,
Save Mapping,Mapping opslaan,,,,
Delete Row,Verwijder rij,,,,
Create New Row,Maak een nieuwe rij aan,,,,
Edit FTP Detail,Wijzig FTP details,,,,
Import Mapping,Import Mapping,,,,
Export Mapping,Export Mapping,,,,
Feed Manager Mapping - ,Feed Manager Mapping - ,,,,
Save Settings,Instellingen opslaan,,,,
Edit Mapping,Wijzig Mapping,,,,
Feed Manager Settings -,Feed Manager Instellingen -,,,,
Feed information,Feed informatie,,,,
Site Name,Site naam,,,,
File Name,Bestandsnaam,,,,
e.g. Google Base,e.g. Google Base,...,e.g. Google Base,Froogle,...
e.g. 'myfeed',e.g. 'mijnfeed',e.g. 'myfeed',do not add file extension,,
File Format,Bestandsformaat,,,,
Item Information,Item informatie,,,,
Title,Titel,,,,
File,Bestand,,,,
Status,Status,,,,
Enabled,Aangezet,,,,
Disabled,Uitgezet,,,,
Content,Content,,,,
Add New Site,Voeg een nieuwe site toe,,,,
Items Manager,Items Manager,,,,
Item News,Item Nieuws,,,,
Item does not exist,item bestaat niet,,,,
Site was successfully saved,Site is succesvol opgeslagen,,,,
Unable to find item to save,Geen item gevonden om op te slaan,,,,
Item was successfully deleted,Item succesvol verwijderd,,,,
Feed settigns was successfully saved,Feed settings succesvol opgeslagen,,,,
Authentication failed,Identificatie mislukt,,,,
Feed mapping was successfully saved,Feed mapping succesvol opgeslagen,,,,
File was successfully imported.,Bestand succesvol geimporteerd.,,,,
Feed FTP Detail was successfully saved,Feed FTP Details succesvol opgeslagen,,,,
FTP Detail was removed,FTP Details zijn verwijderd,,,,
Feed was successfully created and uploaded to Server.,Feed succesvol aangemaakt en geupload naar de server,,,,
Feed was successfully created.,Feed succesvol aangemaakt,,,,
click,klik,,,,
here,hier,,,,
to download feed.,om de feed te downloaden.,,,,
Feed was successfully created and uploaded to Server.,Feed is succesvol aangemaakt en geupload naar de server.,,,,
Please select item(s),Selecter a.u.b. item(s),,,,
Total of %d record(s) were successfully deleted,Er zijn in totaal %d record(s) succesvol verwijderd.,,,,
Feed Not Uploading because of Incorrect FTP detail or Not Connecting to given FTP Server.,Feed niet geupload vanwege incorrecte FTP details of er is geen FTP server opgegeven,,,,
Feed Not Generateing. It seems these is some issue to creating feed.,Feed niet gegenereerd. Het ziet er naar uit dat er problemen zijn onstaan bij het aanmaken van de feed.,,,,
Products not found relavent to Feed Setting Criteria.,Producten niet gevonden die opgegeven zijn in de Feed Criteria instellingen.,,,,
